MES	CAMPANHA	LINK_PLANILHA
	Preparação Descomplicada Concurso Unificado | O caminho mais curto para você conquistar uma das 6.640 vagas e salários de até R$ 22 mil	https://docs.google.com/spreadsheets/d/1WG5J_1Liru6suwE_yKA4faMVD_ishgyD8HuUw7X9Fkw/edit
	Concurso CAIXA - Edital publicado	https://docs.google.com/spreadsheets/d/1qT6GXSKsvX1yYBolNYad4WekLe5o4ub-eiD7rj7dX3M/edit
	Jornada da aprovação Receita Federal | Os 10 melhores concursos para ganhar até R$ 30 mil por mês	https://docs.google.com/spreadsheets/d/1MuRuxq28Ndz-88Eab01Aowo2lItiuwNwesv9KUHL3Gw/edit
	Funil de e-mails CNU	https://docs.google.com/spreadsheets/d/1wlQT6pm1gHibhgF8yRqss0Pj3mj-OwZEmRadEulK114/edit
	Funil de e-mails MPU	https://docs.google.com/spreadsheets/d/1U4eTCU0yulgcfkprIR50-7Pw6Y3JWars3J9KWyDGDlk/edit
	Funil de e-mails BACEN	https://docs.google.com/spreadsheets/d/1GFWJx_Ddl6S9i1UEb0ToYcqUn-WPMK_63XbmmJZcrnc/edit
	Funil de e-mails PRF	https://docs.google.com/spreadsheets/d/1FFl6CUm8hP8AKRZzB_4r-hzNTDC7Pmmd8ThIVejjnME/edit
	Funil de e-mails BNB	https://docs.google.com/spreadsheets/d/1TnlGUCzjVANVdnd2z1e-x990i5kMEqE4ScOi0iZYIuk/edit
	Reta Final TJ SC | O caminho mais rápido para conquistar até R$ 9,4 mil/mês com estabilidade	https://docs.google.com/spreadsheets/d/1nPe63JFHDD2-UtGJG0kLVmI7Z0GxJ8-CZmfT9FumXPM/edit
	Semana Especial dos Concursos Fiscais | Os 10 melhores concursos para ganhar até R$ 30 mil por mês	https://docs.google.com/spreadsheets/d/1_O4ovQTnLGjuDY3CJbBMdXKRUQ1Oy-wUafGlfwoves8/edit
	Trilha da Aprovação TSE Unificado | O passo a passo para conquistar uma das 520 vagas e até R$ 15,4 mil/mês com estabilidade	https://docs.google.com/spreadsheets/d/1cBHO9S60mA7Vm1yYPRh4Q_DKNUuUao0g92aAoCgrEW8/edit?usp=sharing
	TJ AL em 80 dias | Como conquistar R$ 4 mil/mês mesmo sem ter feito faculdade	https://docs.google.com/spreadsheets/d/11KNVcr2GqDr224y9VCsojakH7-dQTnWf-t6M_a3KCjE/edit
	Código da Aprovação BRB | Como conquistar uma das 100 vagas de TI e até R$ 10,2 mil/mês em 80 dias	https://docs.google.com/spreadsheets/d/1y0BPboQ6LVnpBlPOGdOA9Oy4gxhuGQpVK5mKxk5F6KU/edit
	Reta Final TJ MA | 80 dias para conquistar R$ 6,7 mil/mês mesmo sem ter feito faculdade	https://docs.google.com/spreadsheets/d/1IfG3O_eRgr6q3DnwE0vPGtp8OQ0zn0BJ4IFDYwsog3k/edit
	Semana Especial dos Institutos Federais	https://docs.google.com/spreadsheets/d/118kDGp_SlM_0at6M1zKsoRyjhEQnq8WsdPFj7YpleGk/edit
	Funil de pacoteiros	https://docs.google.com/spreadsheets/d/1-r57z-y2fbQql8bTZJjTj9o7tT1NXKyiM63aig6V4BA/edit
	Funil CNU | O que fazer após o Concurso Unificado?	https://docs.google.com/spreadsheets/d/1mWMdODJVijP59f-de5w95e9XCnObxTWJCc1H5wCtXXw/edit
	Sprint Final CNU - Como aproveitar o tempo para aumentar suas chances de aprovação	https://docs.google.com/spreadsheets/d/1LF6nQ23b50ypGc-juy2apGtcw5KDfRJfoCMOlK-CUkQ/edit
	Semana dos Concursos de Nível Médio | Mais de 18 mil vagas com estabilidade e salários de até R$ 7 mil sem faculdade	https://docs.google.com/spreadsheets/d/1M3hnU0Yg3X_4FIdz4l2QOVK-p_bjVE_zcGNLSCcD1eQ/edit
